id,category,author,title,cover,inventory,threshold,price
26,book,Linda Rode,Up the Down Escalator,,20,10,10.95
27,book,K. Limakatso Kendall,Basali!: Stories by and about Women in Lesotho,,20,10,24.44
28,book,Lorenz Graham,How God Fix Jonah,,20,10,16.15
29,book,Arja Salafranca,Glass Jars among Trees,,20,10,44.59
30,book,Isabel Balseiro,Running Towards Us: New Writing from South Africa,,20,10,33.63
31,book,Valerie Key Orlando,Of Suffocated Hearts And Tortured Souls,,20,10,27.95
32,book,Werner Sollors,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,,20,10,
33,book,Ron Padgett,Among the Blacks,,20,10,14.00
34,book,Jon Stewart,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,,20,10,1.99
35,book,Dave Eggers,The Best American Nonrequired Reading 2010,,20,10,11.17
36,book,Jon Stewart,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,,20,10,24.98
37,book,Philip Smith,100 Best-Loved Poems,,20,10,1.80
38,book,Wayne Franklin,The Norton Anthology of American Literature  Shorter Seventh Edition  One-Volume Paperback,,20,10,63.03
39,book,David Wagoner,The Best American Poetry 2009,,20,10,
40,book,Joyce Carol Oates,The Oxford Book of American Short Stories,,20,10,19.95
41,book,Mary Oliver,The Best American Essays 2009,,20,10,13.56
42,book,Jerome Klinkowitz,The Norton Anthology of American Literature  Package 2: Volumes C  D  and E,,20,10,20.00
43,book,Barnes &amp; Noble,Early African American Classics (Barnes &amp; Noble Classics Series),,20,10,24.95
44,book,Joan R. Sherman,African-American Poetry: An Anthology  1773-1930,,20,10,1.80
45,book,Wally Lamb,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,,20,10,10.59
46,book,Margaret Ferguson,The Norton Anthology of Poetry  Shorter 5th Edition,,20,10,58.69
47,book,Amy Gerstler,The Best American Poetry 2010,,20,10,13.87
48,book,Henry Louis Gates Jr.,Classic Slave Narratives: The Life of Olaudah Equiano  The History of Mary Prince  Narrative of the Life of Frederick Douglass  Incidents in the Life of a Slave Girl,,20,10,1.99
49,book,Dave Eggers,The Best American Nonrequired Reading 2009,,20,10,14.39
50,book,Lee Gutkind,In Fact: The Best of Creative Nonfiction,,20,10,15.24
51,book,Joyce Carol Oates,The Best American Essays of the Century,,20,10,14.84
52,book,Hazel Felleman,The Best Loved Poems of the American People,,20,10,17.92
53,book,Wayne Franklin,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,,20,10,37.77
54,book,Margaret Ferguson,The Norton Anthology of Poetry,,20,10,66.30
55,book,Henry Louis Gates Jr.,The Norton Anthology of African American Literature  Vol. 2,,20,10,72.82
